ClinicServiceID,ServiceID,Service,ClinicID,Clinic,Suburb,State,Email,Lat,Lon
39,3,Radiology,17,Nowa Nowa Clinic,Nowa Nowa,VIC,nowanowa@myclinic.com.au,-37.733238,148.089423
40,4,Psychiatry,17,Nowa Nowa Clinic,Nowa Nowa,VIC,nowanowa@myclinic.com.au,-37.733238,148.089423
41,5,Chiropratic,17,Nowa Nowa Clinic,Nowa Nowa,VIC,nowanowa@myclinic.com.au,-37.733238,148.089423
42,3,Radiology,18,Langsborough Clinic,Langsborough,VIC,langsborough@myclinic.com.au,-38.651487,146.675098
43,1,General Practitioner,19,Brisbane Centre Clinic,Brisbane,QLD,brisbane@myclinic.com.au,-27.46758,153.027892
44,2,Pathology,19,Brisbane Centre Clinic,Brisbane,QLD,brisbane@myclinic.com.au,-27.46758,153.027892
45,3,Radiology,19,Brisbane Centre Clinic,Brisbane,QLD,brisbane@myclinic.com.au,-27.46758,153.027892
46,4,Psychiatry,19,Brisbane Centre Clinic,Brisbane,QLD,brisbane@myclinic.com.au,-27.46758,153.027892
47,5,Chiropratic,19,Brisbane Centre Clinic,Brisbane,QLD,brisbane@myclinic.com.au,-27.46758,153.027892
48,4,Psychiatry,20,Robertson Clinic,Robertson,QLD,robertson@myclinic.com.au,-27.565733,153.057213
49,1,General Practitioner,21,Logan Village Clinic,Logan Village,QLD,loganvillage@myclinic.com.au,-27.767054,153.116881
50,5,Chiropratic,21,Logan Village Clinic,Logan Village,QLD,loganvillage@myclinic.com.au,-27.767054,153.116881
51,1,General Practitioner,22,Ipswich Clinic,Ipswich,QLD,ipswich@myclinic.com.au,-27.614604,152.760876
52,4,Psychiatry,22,Ipswich Clinic,Ipswich,QLD,ipswich@myclinic.com.au,-27.614604,152.760876
53,5,Chiropratic,22,Ipswich Clinic,Ipswich,QLD,ipswich@myclinic.com.au,-27.614604,152.760876
54,1,General Practitioner,23,Cattle Creek Clinic,Cattle Creek,QLD,cattlecreek@myclinic.com.au,-27.6483,150.836678
55,4,Psychiatry,23,Cattle Creek Clinic,Cattle Creek,QLD,cattlecreek@myclinic.com.au,-27.6483,150.836678
56,2,Pathology,24,Caboolture Clinic,Caboolture,QLD,caboolture@myclinic.com.au,-27.085007,152.951707
57,5,Chiropratic,25,Booie Clinic,Booie,QLD,booie@myclinic.com.au,-26.498426,151.935421
58,1,General Practitioner,26,Rockhampton Clinic,Rockhampton,QLD,rockhampton@myclinic.com.au,-23.378941,150.512323
59,2,Pathology,26,Rockhampton Clinic,Rockhampton,QLD,rockhampton@myclinic.com.au,-23.378941,150.512323
60,3,Radiology,26,Rockhampton Clinic,Rockhampton,QLD,rockhampton@myclinic.com.au,-23.378941,150.512323
61,1,General Practitioner,27,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
62,2,Pathology,27,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
63,3,Radiology,27,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
64,4,Psychiatry,27,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
65,5,Chiropratic,27,Townsville Clinic,Townsville,QLD,townsville@myclinic.com.au,-19.267358,146.80654
66,1,General Practitioner,28,Cairns Clinic,Cairns,QLD,cairns@myclinic.com.au,-16.925397,145.775178
67,3,Radiology,28,Cairns Clinic,Cairns,QLD,cairns@myclinic.com.au,-16.925397,145.775178
68,5,Chiropratic,28,Cairns Clinic,Cairns,QLD,cairns@myclinic.com.au,-16.925397,145.775178
69,1,General Practitioner,29,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
70,2,Pathology,29,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
71,3,Radiology,29,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
72,4,Psychiatry,29,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
73,5,Chiropratic,29,Adelaide Centre Clinic,Adelaide,SA,adelaide@myclinic.com.au,-34.92577,138.599732
